"filename", "language", "JavaScript", "JSON", "Markdown", "HTML", "Vue", "XML", "comment", "blank", "total"
"d:\Code\Hometown\showhometown\README.md", "Markdown", 0, 0, 62, 0, 0, 0, 0, 22, 84
"d:\Code\Hometown\showhometown\index.html", "HTML", 0, 0, 0, 14, 0, 0, 0, 1, 15
"d:\Code\Hometown\showhometown\package-lock.json", "JSON", 0, 2739, 0, 0, 0, 0, 0, 1, 2740
"d:\Code\Hometown\showhometown\package.json", "JSON", 0, 25, 0, 0, 0, 0, 0, 1, 26
"d:\Code\Hometown\showhometown\public\favicon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Code\Hometown\showhometown\public\qu.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Code\Hometown\showhometown\src\App.vue", "Vue", 0, 0, 0, 0, 8, 0, 0, 4, 12
"d:\Code\Hometown\showhometown\src\api\api.js", "JavaScript", 7, 0, 0, 0, 0, 0, 2, 4, 13
"d:\Code\Hometown\showhometown\src\api\article.js", "JavaScript", 33, 0, 0, 0, 0, 0, 20, 5, 58
"d:\Code\Hometown\showhometown\src\api\attraction.js", "JavaScript", 19, 0, 0, 0, 0, 0, 4, 4, 27
"d:\Code\Hometown\showhometown\src\api\user.js", "JavaScript", 22, 0, 0, 0, 0, 0, 7, 7, 36
"d:\Code\Hometown\showhometown\src\components\HelloWorld.vue", "Vue", 0, 0, 0, 0, 38, 0, 0, 6, 44
"d:\Code\Hometown\showhometown\src\components\TheWelcome.vue", "Vue", 0, 0, 0, 0, 74, 0, 0, 13, 87
"d:\Code\Hometown\showhometown\src\components\WelcomeItem.vue", "Vue", 0, 0, 0, 0, 75, 0, 0, 12, 87
"d:\Code\Hometown\showhometown\src\components\icons\IconCommunity.vue", "Vue", 0, 0, 0, 0, 7, 0, 0, 1, 8
"d:\Code\Hometown\showhometown\src\components\icons\IconDocumentation.vue", "Vue", 0, 0, 0, 0, 7, 0, 0, 1, 8
"d:\Code\Hometown\showhometown\src\components\icons\IconEcosystem.vue", "Vue", 0, 0, 0, 0, 7, 0, 0, 1, 8
"d:\Code\Hometown\showhometown\src\components\icons\IconSupport.vue", "Vue", 0, 0, 0, 0, 7, 0, 0, 1, 8
"d:\Code\Hometown\showhometown\src\components\icons\IconTooling.vue", "Vue", 0, 0, 0, 0, 18, 0, 1, 1, 20
"d:\Code\Hometown\showhometown\src\main.js", "JavaScript", 14, 0, 0, 0, 0, 0, 1, 6, 21
"d:\Code\Hometown\showhometown\src\router\index.js", "JavaScript", 64, 0, 0, 0, 0, 0, 8, 5, 77
"d:\Code\Hometown\showhometown\src\utils\request.js", "JavaScript", 38, 0, 0, 0, 0, 0, 11, 9, 58
"d:\Code\Hometown\showhometown\src\views\article\ArticleDetail.vue", "Vue", 0, 0, 0, 0, 199, 0, 1, 34, 234
"d:\Code\Hometown\showhometown\src\views\article\ArticleList.vue", "Vue", 0, 0, 0, 0, 349, 0, 0, 55, 404
"d:\Code\Hometown\showhometown\src\views\attraction\index.vue", "Vue", 0, 0, 0, 0, 629, 0, 0, 59, 688
"d:\Code\Hometown\showhometown\src\views\culture\index.vue", "Vue", 0, 0, 0, 0, 490, 0, 0, 45, 535
"d:\Code\Hometown\showhometown\src\views\index\index.vue", "Vue", 0, 0, 0, 0, 7, 0, 0, 1, 8
"d:\Code\Hometown\showhometown\src\views\layout\index.vue", "Vue", 0, 0, 0, 0, 399, 0, 0, 43, 442
"d:\Code\Hometown\showhometown\src\views\login\index.vue", "Vue", 0, 0, 0, 0, 289, 0, 0, 35, 324
"d:\Code\Hometown\showhometown\src\views\map\index.vue", "Vue", 0, 0, 0, 0, 407, 0, 0, 49, 456
"d:\Code\Hometown\showhometown\src\views\specialties\index.vue", "Vue", 0, 0, 0, 0, 445, 0, 1, 51, 497
"d:\Code\Hometown\showhometown\src\views\user\index.vue", "Vue", 0, 0, 0, 0, 392, 0, 0, 39, 431
"d:\Code\Hometown\showhometown\vite.config.js", "JavaScript", 21, 0, 0, 0, 0, 0, 2, 1, 24
"Total", "-", 218, 2764, 62, 14, 3847, 2, 58, 517, 7482